[],A Trump supporter yells 'Go back to Puerto Rico!' at Dem rep. Turns out it was a GOP congressman. https://t.co/1roIqcNHUd,_Joy_R,
[],RT @VP: Honored to speak at the @March_for_Life. @POTUS Donald Trump is the most pro-life president in American history. But we know we sti…,cherishRfreedom,Virginia
[],"RT @eugenegu: @realDonaldTrump Trump needs to stop fear mongering about these caravans, especially since when they do get here they basical…",bkheath,"Baltimore, MD"
[],"RT @ChristopherNeth: Dmytro Firtash is a ***REALLY*** important person in the Trump-Russia investigation.

He knows EVERYTHING about Trump'…",StaarVellocet,United States
[],RT @AREvers: This is an incredibly important release from @SenJeffMerkley showing how the administration lied about its family separation p…,Nathan81980,
[],"RT @AndyKroll: NEW: Rep. Will Hurd — a ***Texas Republican*** — tells @RollingStone that @realDonaldTrump's border crisis is a ""myth.""

Hur…",LauraBergerol,"New Orleans, LA"
[],"RT @willripleyCNN: As far as we know, the meeting with President Trump and North Korea’s top negotiator Kim Yong Chol at the White House is…",ELINTNews,United Kingdom
[],"RT @brianefallon: This is McConnell's worst nightmare. He was counting on keeping a low profile through this, and letting it only be about…",Leila_Price,
[],RT @StickWithTrump: I believe President Trump should immediately allocate Pelosi her own transportation. It's only fair for her &amp; respectfu…,AvaHooks1,Middle America
[],@BuzzFeedNews That trump story better be real,yesimfatikno,uranus
[],RT @ZanderKelly30: New Poll Shows Joe Biden With Big Lead Among Potential POTUS Candidates https://t.co/2Bwjwlc3Jd via @dailycaller,SkippyManuel,
[],"RT @KalebScott_: Trump: “You boys enjoing your big macs?”

Clemson Tigers: 
 https://t.co/W9C4SNt7od",SAngeLo95,
[],RT @TeaPainUSA: Tea would wager that Trump instructed all his folks to lie to Congress because he knew Nunes and his other GOP imps and dem…,9796773phil,ON
[],@tripspackler @funder @realDonaldTrump Funny you should say that -- because Trump HAS used time travel. So did Bara… https://t.co/HkfnRy61gY,scad8589,
[],RT @TeaPainUSA: Tea would wager that Trump instructed all his folks to lie to Congress because he knew Nunes and his other GOP imps and dem…,freehawk,the ATL GA SC
[],"RT @sarahkendzior: This is the right move, Dems. Start the proceedings, get information into the public domain. Force transparency that is…",stevnlari,"Boston, MA"
[],"For shame!

FLOTUS Jets To Florida On Military Plane After Trump Halts Pelosi’s Troop Visit
https://t.co/QWH261vCTL",jsayler,Las Vegas
[],"RT @brianefallon: This is McConnell's worst nightmare. He was counting on keeping a low profile through this, and letting it only be about…",snailkite_FL,"Virginia, USA"
[],RT @alink2stc: Sorry @LindseyGrahamSC you are most definitely wrong on this one! @SpeakerPelosi had no business leaving town during a shutd…,youlosenordys,"California, USA"
[],RT @TeaPainUSA: Tea would wager that Trump instructed all his folks to lie to Congress because he knew Nunes and his other GOP imps and dem…,therealturdf,United States
[],trump will die in jail. Lock him up!,midsummer_dream,
[],"RT @bud_cann: Democrats got drunk on the beach in Puerto Rico during the shutdown, Ruth Bader Ginsberg is rumoured to be giving Trump a thi…",LisaMWall3,Flyover Country
[],RT @VP: Honored to speak at the @March_for_Life. @POTUS Donald Trump is the most pro-life president in American history. But we know we sti…,JeffPassage,Non-Calvinist Territory
